,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
0,The Good Nurse,tt4273800,movie,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.,2022,R,121 min,"Biography, Crime, Drama",United States,tt4273800,7.1,204
1,The School for Good and Evil,tt2935622,movie,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,2022,PG-13,147 min,"Action, Comedy, Drama",United States,tt2935622,5.8,"18,952"
2,Wild Is the Wind,tt0051193,movie,"An immigrant Nevada rancher brings a woman from Italy to be his second wife, but when he neglects her she becomes involved with his trusted assistant.",1957,Not Rated,114 min,Drama,United States,tt0051193,6.7,"1,027"
3,The Curse of Bridge Hollow,tt15289240,movie,"A teenage girl, who accidentally releases an ancient and mischievous spirit on Halloween which causes decorations to come alive and wreak havoc, must team up with the last person she'd want to in order to save their town - her fat...",2022,TV-14,89 min,"Adventure, Comedy, Family",United States,tt15289240,N/A,"4,085"
4,Luckiest Girl Alive,tt4595186,movie,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel.",2022,R,113 min,"Drama, Mystery, Thriller",United States,tt4595186,6.4,"13,563"
5,Sing,tt3470600,movie,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",2016,PG,108 min,"Animation, Comedy, Family","Japan, United States, France",tt3470600,7.1,"169,979"
6,The Boss Baby,tt3874544,movie,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",2017,PG,97 min,"Animation, Adventure, Comedy",United States,tt3874544,6.3,"127,311"
7,Blade of the 47 Ronin,tt12610794,movie,"Ancient Japanese Ronin warriors set 300 years after 47 Ronin, in a modern-day world where Samurai clans exist in complete secrecy.",2022,R,N/A,"Action, Drama, Fantasy",United States,tt12610794,N/A,N/A
8,All Quiet on the Western Front,tt0020629,movie,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",1930,Passed,152 min,"Drama, War",United States,tt0020629,8.1,"61,923"
9,The Chalk Line,tt4809364,movie,"Mr. and Mrs. Love, with their young son, are so happy that hubby is usually late for work. The stenographer in Mr. Love's office who is in love with the bookkeeper places a note and handkerchief in Mr. Love's pocket by mistake. Hu...",1916,N/A,N/A,"Short, Comedy",United States,tt4809364,N/A,N/A
10,20th Century Girl,tt15340724,movie,"In 1999, a teen with a heart of gold begins keeping close tabs on a popular classmate as a favor to her smitten best friend.",2022,TV-PG,119 min,"Drama, Romance",South Korea,tt15340724,7.3,"1,183"
11,Beyond the Universe,tt0130503,movie,A 21st-century scientist tries to save Earth after two atomic wars.,1981,N/A,93 min,Sci-Fi,United States,tt0130503,3.8,88
12,Hellhole,tt19724142,movie,"In 1987 Poland, a police officer investigating mysterious disappearances infiltrates a remote monastery and discovers a dark truth about its clergy.",2022,TV-MA,91 min,Horror,Poland,tt19724142,5.6,"2,465"
13,Robbing Mussolini,tt14270848,movie,A Milanese wartime entrepreneur forms a band of misfits and rogues to stage an elaborate heist of a legendary treasure belonging to Benito Mussolini.,2022,N/A,90 min,"Action, Comedy, Crime",Italy,tt14270848,N/A,19
14,Someone Borrowed,tt22091698,movie,"A stubborn bachelor hires an actress to play his fiancee to fulfill his dying mother's final wish, and try to avoid her deleting him from her will.",2022,N/A,107 min,"Comedy, Romance",Brazil,tt22091698,N/A,N/A
15,Laal Singh Chaddha,tt10028196,movie,"Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth, happiness and will also make you laugh.",2022,PG-13,159 min,"Comedy, Drama, Romance",India,tt10028196,5.4,"169,172"
16,From Scratch,tt7129346,movie,A death row prison chef reflects on his past and perfects an old recipe.,2018,N/A,13 min,Short,United States,tt7129346,9.0,9
17,The Watcher,tt0204626,movie,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations using his forensic knowledge to gain entr...",2000,R,97 min,"Crime, Drama, Mystery","United States, Canada, Vietnam",tt0204626,5.3,"27,462"
18,Guillermo del Toro's Cabinet of Curiosities,tt8415836,series,"Bizarre nightmares unfold in eight tales of terror in a visually stunning, spine-tingling horror collection curated by Guillermo del Toro.",2022–,TV-MA,1 min,"Drama, Horror, Mystery","United States, Mexico",tt8415836,7.4,"16,854"
19,Dahmer,tt0285728,movie,"Biopic about notorious American serial killer Jeffrey Dahmer, taking place in both the past and the present.",2002,R,101 min,"Biography, Crime, Drama",United States,tt0285728,5.6,"10,725"
20,The Bastard Son,tt16380676,movie,"A Fatherless man from the wrong side of town. He is conceived by a teenager who was a victim of rape. Unable to reap the benefits of a functional family nor education, he turns to a life of crime to help his family level the playi...",2022,N/A,N/A,Drama,United States,tt16380676,9.6,8
21,28 Days Haunted,tt22227040,series,Three teams spend 28 days in some of the most haunted locations in the United States for an experiment based on the theories of paranormal investigators Ed and Lorraine Warren.,2022–,N/A,N/A,"Horror, Reality-TV",United States,tt22227040,N/A,N/A
22,Little Angel,tt0116208,movie,"Ramona lives her lonely life in Berlin working in a lipstick factory. One day she accidentally runs into Andrzei, a Polish mechanic illegally selling cigarettes in Germany during the weekend. One thing leads to another, and soon s...",1996,N/A,88 min,"Drama, Romance",Germany,tt0116208,6.6,109
23,Dubai Bling,tt22071840,series,"Step off the private jet and into a high-flying social circle in Dubai, where lavish parties, stunning skylines and jaw-dropping fashion are the norm.",2022–,N/A,N/A,Reality-TV,United Arab Emirates,tt22071840,N/A,N/A
24,Vatican Girl: The Disappearance of Emanuela Orlandi,tt22746676,series,"A 15 year-old girl living in Vatican City, disappeared under mysterious circumstances that are believed to have involved the Vatican.",2022,N/A,N/A,"Documentary, Crime","United Kingdom, Italy",tt22746676,N/A,N/A
25,The Empress,tt13720112,series,"Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry.",2022–,TV-MA,N/A,"Drama, History, Romance",Germany,tt13720112,7.9,"6,953"
26,If Only,tt0332136,movie,It takes a tragedy to teach the young businessman Ian to put love ahead of work and open up to his musician girlfriend Samantha.,2004,PG-13,92 min,"Comedy, Drama, Fantasy","United States, United Kingdom",tt0332136,7.0,"32,727"
27,Extraordinary Attorney Woo,tt20869502,series,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.",2022,TV-14,1 min,Drama,South Korea,tt20869502,8.8,"10,429"
28,Blackout,tt0844666,movie,Three people from different walks of life find themselves trapped inside a stalled elevator. What at first seems like an inconvenience rapidly escalates into a nightmare.,2008,R,85 min,"Horror, Mystery, Thriller",United States,tt0844666,5.0,"3,870"
29,Black and Blue,tt7390646,movie,A rookie New Orleans police officer is forced to balance her identity as a black woman after she witnesses two corrupt cops committing murder.,2019,R,108 min,"Action, Thriller",United States,tt7390646,6.4,"24,105"
30,Mr. Harrigan's Phone,tt12908110,movie,"When Mr. Harrigan dies, Craig, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial. When the lonely youth sends his dead friend a message, he is shocked to get a return text.",2022,PG-13,104 min,"Drama, Horror, Mystery",United States,tt12908110,6.0,"16,024"
31,Charlie's Angels,tt0160127,movie,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",2000,PG-13,98 min,"Action, Adventure, Comedy","United States, Germany",tt0160127,5.6,"187,773"
32,Dobaaraa,tt14042066,movie,"A woman gets an opportunity to save the life of a 12-year old boy who witnessed a death during a thunderstorm which happened 25 years ago, by getting connected through the television set during a similar storm in the present.",2022,N/A,132 min,"Drama, Fantasy, Mystery",India,tt14042066,2.8,"16,702"
33,Old People,tt21933110,movie,A woman travels home with her two kids for her sister's wedding but finds herself defending her family against blood-seeking pensioners.,2022,N/A,101 min,Horror,Germany,tt21933110,5.0,"3,371"
34,Doll House,tt9357288,movie,"An 11-year-old girl arrives at a foster home, bringing her doll and dollhouse. Soon after, strange things begin to happen and everyone is in danger.",2020,N/A,85 min,Horror,United Kingdom,tt9357288,2.1,339
35,Loving Adults,tt14592948,movie,Follows a couple who appear to be living the perfect life after their son is declared healthy following a long-term illness.,2022,TV-MA,104 min,"Crime, Drama, Thriller",Denmark,tt14592948,6.5,"7,682"
36,Usogui,tt5715464,movie,A brilliant gambler lays down his life as the wager for various games against dangerous opponents.,2022,N/A,120 min,Thriller,Japan,tt5715464,N/A,208
37,The Midnight Club,tt13444912,series,"The Midnight Club follows a group of five terminally ill patients at Brightcliffe Hospice, who begin to gather together at midnight to share scary stories.",2022–,TV-MA,1 min,"Drama, Horror, Mystery","Canada, United States",tt13444912,7.0,"2,527"
38,Wild Croc Territory,tt22085974,series,Matt Wright and his fearless team of crocodile wranglers catch and relocate some of the world's most ferocious reptiles in Australia's wild Outback.,2022–,N/A,N/A,Reality-TV,Australia,tt22085974,N/A,N/A
39,Holy Family,tt7036826,movie,"Holy Family is a dark comedy about a family of 5 siblings, a single mom and a football fanatic grandma who all live in a small flat in the outskirts of Lisbon. Everything comes to a climax on the day Benfica's mascot (the famous e...",2019,N/A,20 min,"Short, Comedy, Drama",Portugal,tt7036826,5.6,11
40,The Playlist,tt11564258,series,How Swedish tech entrepreneur Daniel Ek and business partner Martin Lorentzon revolutionized the music industry through free and legal music streaming when they launched Spotify.,2022,TV-MA,N/A,"Biography, Drama",Sweden,tt11564258,8.1,521
41,High Water,tt15096728,series,"When the flood wave approaches the capital of Lower Silesia, a decision is made to save the city from the destructive elements, the surrounding villages and fields should be sacrificed.",2022–,TV-MA,N/A,Drama,Poland,tt15096728,7.2,"2,362"
42,The Redeem Team,tt21837726,movie,"Follows the story of the 2008 U.S. Olympic Men's Basketball team and how ""The Redeem Team"" set a new standard for American basketball.",2022,TV-MA,97 min,"Documentary, History, Sport",United States,tt21837726,7.4,"6,470"
43,Running with the Devil,tt5792656,movie,The CEO of an international conglomerate sends two of his most regarded executives to investigate why shipments of cocaine are being hijacked and over cut somewhere on the supply chain.,2019,R,100 min,"Crime, Drama, Thriller","Colombia, United States",tt5792656,5.4,"8,516"
44,Blonde,tt1655389,movie,A fictionalized chronicle of the inner life of Marilyn Monroe.,2022,NC-17,167 min,"Biography, Drama, Romance",United States,tt1655389,5.5,"36,785"
45,Togo,tt5116302,movie,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",2019,PG,113 min,"Adventure, Biography, Drama",United States,tt5116302,7.9,"49,069"
46,Jumping from High Places,tt22071864,movie,"To honor her best friend's last wish, a young woman with severe anxiety confronts her greatest fears to try and reclaim her life — and perhaps find love.",2022,TV-14,88 min,"Comedy, Drama, Romance",Italy,tt22071864,N/A,542
47,Anikulapo,tt21432050,movie,"It tells the story of Saro, a man seeking for greener pasture, but unfolding events and his affair with the king's wife, he encounters his untimely death and with Akala, a mystical bird believed to give and take life.",2022,TV-MA,142 min,"Drama, Fantasy",Nigeria,tt21432050,5.3,244
48,Plan A Plan B,tt15238986,movie,"Follows a matchmaker who believes marriage is for everyone except herself, and a successful divorce lawyer with a secret, who cross paths, and explores if opposites coexist or attract.",2022,TV-14,105 min,"Comedy, Romance",India,tt15238986,4.7,"1,390"
49,Conversations with a Killer: The Jeffrey Dahmer Tapes,tt21946032,series,"Serial killer Jeffrey Dahmer confesses to his gruesome crimes in unguarded interviews, offering an unsettling view into a disturbed mind.",2022,TV-MA,N/A,"Documentary, Biography, Crime",United States,tt21946032,7.4,"1,621"
50,Oddballs,tt21107718,series,It tells the story of James. His observations on life fuel his comedic rants at everyday inconveniences and elevates them to absurd heights.,2022–,TV-Y7,N/A,"Animation, Adventure, Comedy",United States,tt21107718,6.6,625
51,"El Rey, Vicente Fernández",tt16442864,series,Follows the life of Mexican music icon Vicente Fernandez.,2022–,TV-14,N/A,"Biography, Drama, Music","Mexico, Colombia",tt16442864,7.3,266
52,Young Lady and Gentleman,tt15514606,series,"Lee Young Kook is a widower with three children. He decides to hire Park Dan Dan as a live-in tutor for his kids and he becomes attracted to her despite the age difference. Probably because Park Dan Dan is funny, charming, and pos...",2021–,N/A,31S min,"Comedy, Drama, Family",South Korea,tt15514606,6.4,289
53,Chiquititas,tt0154063,series,"The lives of a group of orphans that live at the manor known as Rincón De Luz are touched and changed by a sweet-hearted, dedicated young woman.",1995–2001,N/A,60 min,"Musical, Family, Comedy",Argentina,tt0154063,6.1,489
